0:0|Kim tệ
6:10092|Dậu Kê
6:10093|Dậu Kê
6:10094|Dậu Kê
6:10101|Tuất Cẩu
6:10102|Tuất Cẩu
6:10103|Tuất Cẩu
6:10104|Tuất Cẩu
6:10111|Hợi Trư
6:10112|Hợi Trư
6:10113|Hợi Trư
6:10114|Hợi Trư
6:20001|Thanh Long
6:20002|Thanh Long
6:20011|Bạch Hổ
6:20012|Bạch Hổ
6:20021|Chu Tước
6:20022|Chu Tước
6:20031|Huyền Vũ
6:20032|Huyền Vũ
6:20041|Thao Thiết
6:20042|Thao Thiết
6:20051|Kỳ Lân
6:20052|Kỳ Lân
6:20061|Quỳ Ngưu
6:20062|Quỳ Ngưu
6:20071|Phượng Hoàng
6:20072|Phượng Hoàng
6:20081|Câu Trần
6:20082|Câu Trần
6:20091|Đào Ngột
6:20092|Đào Ngột
6:30001|Thú hồn kinh nghiệm ( Nhỏ )
6:30002|Thú hồn kinh nghiệm ( Lớn )
7:100101|Phiên Thiên Ấn
7:200101|Thanh Long rơi
7:300101|Hoa sen bảo sách
7:400101|Trảm Tiên Phi Đao
7:500101|Long Uyên thương
7:600101|Cô hồng kiếm
7:1000101|Long Vương cái sọt
7:2000101|Tinh kim đồng tiền
7:3000101|Lửa anh thương
7:4000101|Thái hư thần giáp
7:5000101|Đông Hoàng Chung
7:6000101|Lạc Nhật Cung
7:7000101|Bên trên bảo thấm kim bá
7:8000101|Áng mây phiêu
7:9000101|Thần Nông đỉnh
7:10000101|Vong ưu
7:11000101|Ánh trăng
7:12000101|Lão Long bố mưa
7:13000101|Hỗn Thiên Lăng
7:14000101|Hổ phách đao
7:15000101|Mộng cảnh di châu
7:16000101|Muối biển trân châu con trai
7:17000101|Tùy tâm đáng tin binh
7:18000101|Phù thế thanh hoan
7:19000101|Như Ý Kim Cô Bổng
7:20000101|Vĩnh Dạ
7:21000101|Bông tuyết linh
7:22000101|Hộp kiếm
7:23000101|Trảm hồn
7:24000101|Ly Long ấn
7:25000101|Ngũ thải Thần thạch
7:26000101|Huyền Hỏa Giám
7:27000101|Làm thích
7:28000101|Mộ chỉ riêng
7:29000101|Tinh hồng chi mắt
7:30000101|Toa la bảo trượng
7:31000101|Ly châu
7:32000101|Bèo tấm
7:33000101|Linh Lung Bảo Tháp
7:34000101|Gấm lan cà sa
7:35000101|Chú oán
7:36000101|Ngũ sắc thần quang
7:37000101|Tam Bảo Ngọc Như Ý
7:38000101|Hoàng việt
7:39000101|Hỗn Thiết Côn
7:40000101|Vu độc con rối
7:41000101|Huyết liên đài
8:100001|Trời · Phiên Thiên Ấn
8:100002|· Phiên Thiên Ấn
8:100003|Huyền · Phiên Thiên Ấn
8:100004|Hoàng · Phiên Thiên Ấn
8:200001|Trời · Thanh Long rơi
8:200002|· Thanh Long rơi
8:200003|Huyền · Thanh Long rơi
8:200004|Hoàng · Thanh Long rơi
8:300001|Trời · Hoa sen bảo sách
8:300002|· Hoa sen bảo sách
8:300003|Huyền · Hoa sen bảo sách
8:300004|Hoàng · Hoa sen bảo sách
8:400001|Trời · Trảm Tiên Phi Đao
8:400002|· Trảm Tiên Phi Đao
8:400003|Huyền · Trảm Tiên Phi Đao
8:400004|Hoàng · Trảm Tiên Phi Đao
8:500001|Trời · Long Uyên thương
8:500002|· Long Uyên thương
8:500003|Huyền · Long Uyên thương
8:500004|Hoàng · Long Uyên thương
8:600001|Trời · Cô hồng kiếm
8:600002|· Cô hồng kiếm
8:600003|Huyền · Cô hồng kiếm
8:600004|Hoàng · Cô hồng kiếm
8:1000001|Trời · Long Vương cái sọt
8:1000002|· Long Vương cái sọt
8:1000003|Huyền · Long Vương cái sọt
8:1000004|Hoàng · Long Vương cái sọt
8:2000001|Trời · Tinh kim đồng tiền
8:2000002|· Tinh kim đồng tiền
8:2000003|Huyền · Tinh kim đồng tiền
8:2000004|Hoàng · Tinh kim đồng tiền
8:3000001|Trời · Lửa anh thương
8:3000002|· Lửa anh thương
8:3000003|Huyền · Lửa anh thương
8:3000004|Hoàng · Lửa anh thương
8:4000001|Trời · Thái hư thần giáp
8:4000002|· Thái hư thần giáp
8:4000003|Huyền · Thái hư thần giáp
8:4000004|Hoàng · Thái hư thần giáp
8:5000001|Trời · Đông Hoàng Chung
8:5000002|· Đông Hoàng Chung
8:5000003|Huyền · Đông Hoàng Chung
8:5000004|Hoàng · Đông Hoàng Chung
8:6000001|Trời · Lạc Nhật Cung
8:6000002|· Lạc Nhật Cung
8:6000003|Huyền · Lạc Nhật Cung
8:6000004|Hoàng · Lạc Nhật Cung
8:7000001|Trời · Bên trên bảo thấm kim bá
8:7000002|· Bên trên bảo thấm kim bá
8:7000003|Huyền · Bên trên bảo thấm kim bá
8:7000004|Hoàng · Bên trên bảo thấm kim bá
8:8000001|Trời · Áng mây phiêu
8:8000002|· Áng mây phiêu
8:8000003|Huyền · Áng mây phiêu
8:8000004|Hoàng · Áng mây phiêu
8:9000001|Trời · Thần Nông đỉnh
8:9000002|· Thần Nông đỉnh
8:9000003|Huyền · Thần Nông đỉnh
8:9000004|Hoàng · Thần Nông đỉnh
8:10000001|Trời · Vong ưu
8:10000002|· Vong ưu
8:10000003|Huyền · Vong ưu
8:10000004|Hoàng · Vong ưu
8:11000001|Trời · Ánh trăng
8:11000002|· Ánh trăng
8:11000003|Huyền · Ánh trăng
8:11000004|Hoàng · Ánh trăng
8:12000001|Trời · Lão Long bố mưa
8:12000002|· Lão Long bố mưa
8:12000003|Huyền · Lão Long bố mưa
8:12000004|Hoàng · Lão Long bố mưa
8:13000001|Trời · Hỗn Thiên Lăng
8:13000002|· Hỗn Thiên Lăng
8:13000003|Huyền · Hỗn Thiên Lăng
8:13000004|Hoàng · Hỗn Thiên Lăng
8:14000001|Trời · Hổ phách đao
8:14000002|· Hổ phách đao
8:14000003|Huyền · Hổ phách đao
8:14000004|Hoàng · Hổ phách đao
8:15000001|Trời · Mộng cảnh di châu
8:15000002|· Mộng cảnh di châu
8:15000003|Huyền · Mộng cảnh di châu
8:15000004|Hoàng · Mộng cảnh di châu
8:16000001|Trời · Muối biển trân châu con trai
8:16000002|· Muối biển trân châu con trai
8:16000003|Huyền · Muối biển trân châu con trai
8:16000004|Hoàng · Muối biển trân châu con trai
8:17000001|Trời · Tùy tâm đáng tin binh
8:17000002|· Tùy tâm đáng tin binh
8:17000003|Huyền · Tùy tâm đáng tin binh
8:17000004|Hoàng · Tùy tâm đáng tin binh
8:18000001|Trời · Phù thế thanh hoan
8:18000002|· Phù thế thanh hoan
8:18000003|Huyền · Phù thế thanh hoan
8:18000004|Hoàng · Phù thế thanh hoan
8:19000001|Trời · Như Ý Kim Cô Bổng
8:19000002|· Như Ý Kim Cô Bổng
8:19000003|Huyền · Như Ý Kim Cô Bổng
8:19000004|Hoàng · Như Ý Kim Cô Bổng
8:20000001|Trời · Vĩnh Dạ
8:20000002|· Vĩnh Dạ
8:20000003|Huyền · Vĩnh Dạ
8:20000004|Hoàng · Vĩnh Dạ
8:21000001|Trời · Bông tuyết linh
8:21000002|· Bông tuyết linh
8:21000003|Huyền · Bông tuyết linh
8:21000004|Hoàng · Bông tuyết linh
8:22000001|Trời · Hộp kiếm
8:22000002|· Hộp kiếm
8:22000003|Huyền · Hộp kiếm
8:22000004|Hoàng · Hộp kiếm
8:23000001|Trời · Trảm hồn
8:23000002|· Trảm hồn
8:23000003|Huyền · Trảm hồn
8:23000004|Hoàng · Trảm hồn
8:24000001|Trời · Ly Long ấn
8:24000002|· Ly Long ấn
8:24000003|Huyền · Ly Long ấn
8:24000004|Hoàng · Ly Long ấn
8:25000001|Trời · Ngũ thải Thần thạch
8:25000002|· Ngũ thải Thần thạch
8:25000003|Huyền · Ngũ thải Thần thạch
8:25000004|Hoàng · Ngũ thải Thần thạch
8:26000001|Trời · Huyền Hỏa Giám
8:26000002|· Huyền Hỏa Giám
8:26000003|Huyền · Huyền Hỏa Giám
8:26000004|Hoàng · Huyền Hỏa Giám
8:27000001|Trời · Làm thích
8:27000002|· Làm thích
8:27000003|Huyền · Làm thích
8:27000004|Hoàng · Làm thích
8:28000001|Trời · Mộ chỉ riêng
8:28000002|· Mộ chỉ riêng
8:28000003|Huyền · Mộ chỉ riêng
8:28000004|Hoàng · Mộ chỉ riêng
8:29000001|Trời · Tinh hồng chi mắt
8:29000002|· Tinh hồng chi mắt
8:29000003|Huyền · Tinh hồng chi mắt
8:29000004|Hoàng · Tinh hồng chi mắt
8:30000001|Trời · Toa la bảo trượng
8:30000002|· Toa la bảo trượng
8:30000003|Huyền · Toa la bảo trượng
8:30000004|Hoàng · Toa la bảo trượng
8:31000001|Trời · Ly châu
8:31000002|· Ly châu
8:31000003|Huyền · Ly châu
8:31000004|Hoàng · Ly châu
8:32000001|Trời · Bèo tấm
8:32000002|· Bèo tấm
8:32000003|Huyền · Bèo tấm
8:32000004|Hoàng · Bèo tấm
8:33000001|Trời · Linh Lung Bảo Tháp
8:33000002|· Linh Lung Bảo Tháp
8:33000003|Huyền · Linh Lung Bảo Tháp
8:33000004|Hoàng · Linh Lung Bảo Tháp
8:34000001|Trời · Gấm lan cà sa
8:34000002|· Gấm lan cà sa
8:34000003|Huyền · Gấm lan cà sa
8:34000004|Hoàng · Gấm lan cà sa
8:35000001|Trời · Chú oán
8:35000002|· Chú oán
8:35000003|Huyền · Chú oán
8:35000004|Hoàng · Chú oán
8:36000001|Trời · Ngũ sắc thần quang
8:36000002|· Ngũ sắc thần quang
8:36000003|Huyền · Ngũ sắc thần quang
8:36000004|Hoàng · Ngũ sắc thần quang
8:37000001|Trời · Tam Bảo Ngọc Như Ý
8:37000002|· Tam Bảo Ngọc Như Ý
8:37000003|Huyền · Tam Bảo Ngọc Như Ý
8:37000004|Hoàng · Tam Bảo Ngọc Như Ý
8:38000001|Trời · Hoàng việt
8:38000002|· Hoàng việt
8:38000003|Huyền · Hoàng việt
8:38000004|Hoàng · Hoàng việt
8:39000001|Trời · Hỗn Thiết Côn
8:39000002|· Hỗn Thiết Côn
8:39000003|Huyền · Hỗn Thiết Côn
8:39000004|Hoàng · Hỗn Thiết Côn
8:40000001|Trời · Vu độc con rối
8:40000002|· Vu độc con rối
8:40000003|Huyền · Vu độc con rối
8:40000004|Hoàng · Vu độc con rối
8:41000001|Trời · Huyết liên đài
8:41000002|· Huyết liên đài
8:41000003|Huyền · Huyết liên đài
8:41000004|Hoàng · Huyết liên đài
3:100001|Tiến giai thạch
3:100002|Thái Ất tinh kim
3:100003|Hạo dương thạch
3:100004|Mạ vàng phấn
3:100007|Thiên Khải tinh văn tảng đá
3:100008|Bích ngọc tủy
3:100009|Thiên giới Thần thạch
3:100010|Liệt Dương tín vật
3:100011|Thần trang mảnh vỡ
3:100013|Hiền giả di vật
3:100014|Tiên linh di vật
3:100015|Yêu Tổ di vật
3:100016|Ma Hoàng di vật
3:100017|Cổ Thần di vật
3:100018|Tín ngưỡng chi lực
3:100024|Linh bàn thờ
3:100025|Mệnh ký
3:100026|Mệnh cách
3:100028|Đổi thành tinh hoa
3:100029|Làn da mảnh vỡ
3:100030|Máu anh thạch
3:100031|Tẩy luyện thạch
3:100032|Hoàng cấp hồn đan
3:100033|Huyền cấp hồn đan
3:100034|Địa cấp hồn đan
3:100035|Thiên cấp hồn đan
3:100036|Thú hồn mảnh vỡ
3:100047|Quán ma chi bình · Người
3:100048|Quán ma chi bình · Tiên
3:100049|Quán ma chi bình · Yêu
3:100050|Quán ma chi bình · Thần
3:100051|Quán ma chi bình · Ma
3:100057|Thời gian tinh hoa
3:100059|Hồn đan
3:100096|Quán ma chi bình
3:100210|Thời gian đồng hồ cát
3:100212|Huyền thiết
3:100213|Thần thiết
3:100214|Vẫn thạch tinh hoa
3:100215|Động thiên hồng ngọc
3:100216|Kỳ Lân tiên ngọc
3:100217|Tiên Khí tinh hoa
3:100224|Tu vi đan
3:100225|Bí kíp
3:100227|Thông linh bài
3:100228|Cầm tinh khiến
3:100229|Thánh Thú khiến
3:100230|Cộng minh thủy tinh
3:100100|Triện ấn: Thần ân
3:100101|Triện ấn: Pháp liền
3:100102|Triện ấn: Giáp dày
3:100103|Triện ấn: Sạch sẽ
3:100104|Triện ấn: Tự hạn chế
3:100105|Triện ấn: Kháng khống
3:100106|Triện ấn: Né tránh
3:100107|Triện ấn: Khép lại
3:100108|Triện ấn: Miễn tổn thương
3:100109|Triện ấn: Thần tốc
3:100110|Triện ấn: Trí tuệ
3:100111|Triện ấn: Thần võ
3:100112|Triện ấn: Truy kích
3:100113|Triện ấn: Bạo tập
3:100114|Triện ấn: Nổi giận
3:100115|Triện ấn: Cuồng bạo
3:100116|Triện ấn: Máu giận
3:100117|Triện ấn: Che chở
3:100118|Triện ấn: Chiến rống
3:100119|Triện ấn: Dịch bệnh
3:100120|Triện ấn: Câu hồn
3:100121|Triện ấn: Xua tan
3:100122|Triện ấn: Mãnh kích
3:100123|Triện ấn: Trào phúng
3:100124|Triện ấn: Giảm tốc
3:100125|Triện ấn: Hi sinh
3:100126|Triện ấn: Áp chế
3:100127|Triện ấn: Nhắm chuẩn
3:100128|Triện ấn: Tái sinh
3:100129|Triện ấn: Trùng sinh
3:100130|Triện ấn: Dừng bạo
3:100131|Triện ấn: Ma giáp
3:100132|Triện ấn: Chiến giáp
3:100133|Triện ấn: Nghị nặng
3:100134|Triện ấn: Xuyên thấu
3:100135|Triện ấn: Khống tràng
3:100136|Triện ấn: Vật liền
3:100137|Triện ấn: Hút máu
3:100138|Triện ấn: Viện hộ
3:100139|Triện ấn: Phản tổn thương
3:100140|Triện ấn: Dũng mãnh
3:100141|Triện ấn: Hiểu ý
3:100142|Triện ấn: Lưu động
3:100143|Triện ấn: Tránh hiểm
3:100144|Triện ấn: Hồi hồn
3:100145|Triện ấn: Diệt hồn
3:40101|Cấp thấp phụ ma: Lôi đình
3:40102|Trung cấp phụ ma: Lôi đình
3:40103|Cao cấp phụ ma: Lôi đình
3:40201|Cấp thấp phụ ma: Tẩm bổ
3:40202|Trung cấp phụ ma: Tẩm bổ
3:40203|Cao cấp phụ ma: Tẩm bổ
3:40301|Cấp thấp phụ ma: Đạp gió
3:40302|Trung cấp phụ ma: Đạp gió
3:40303|Cao cấp phụ ma: Đạp gió
3:40401|Cấp thấp phụ ma: Sáng tạo càng
3:40402|Trung cấp phụ ma: Sáng tạo càng
3:40403|Cao cấp phụ ma: Sáng tạo càng
3:40501|Cấp thấp phụ ma: Cứng cỏi
3:40502|Trung cấp phụ ma: Cứng cỏi
3:40503|Cao cấp phụ ma: Cứng cỏi
3:300001|Cố định gói quà -1 
3:300002|Cố định gói quà -2
3:300003|Cố định gói quà -3
3:300004|Cố định gói quà -4
3:300005|Q Bầy gói quà
3:300006|Manh mới gói quà
3:300007|Hộ lá gan tiến giai gói quà
3:300008|Đề nghị gói quà
3:300009|BUG Gói quà
3:300010|Đánh giá gói quà
3:300011|Anh hùng mạo hiểm hào lễ
3:300012|Anh hùng làn da gói quà
3:300013|Phiên Thiên Ấn gói quà
3:300014|Thanh Long rơi gói quà
3:300015|Hoa sen bảo sách gói quà
3:300016|Trảm Tiên Phi Đao gói quà
3:300017|Long Vương cái sọt gói quà
3:300018|Tinh kim đồng tiền gói quà
3:300019|Lửa anh thương gói quà
3:300020|Thái hư thần giáp gói quà
3:300021|Đông Hoàng Chung gói quà
3:300022|Lạc Nhật Cung gói quà
3:300023|Bên trên bảo thấm kim bá gói quà
3:300024|Áng mây phiêu gói quà
3:300025|Thần Nông đỉnh gói quà
3:300026|Vong ưu gói quà
3:300027|Ánh trăng gói quà
3:300028|Lão Long bố mưa gói quà
3:300029|Hỗn Thiên Lăng gói quà
3:300030|Hổ phách đao gói quà
3:400001|Ngẫu nhiên gói quà -1
3:400002|Ngẫu nhiên gói quà -2
3:400003|Ngẫu nhiên gói quà -3
3:400004|Ngẫu nhiên gói quà -4
3:400005|May mắn tầm bảo gói quà
3:400006|Cao cấp tầm bảo gói quà
3:400007|3 Tinh trang bị gói quà
3:400008|2 Tinh trang bị gói quà
3:400009|Huyền cấp thú hồn gói quà
3:400010|May mắn điểm tướng gói quà
3:400011|Di vật ngẫu nhiên gói quà
3:400012|Triệu hoán gói quà
3:400013|Mảnh vỡ gói quà
3:400014|Hoàng cấp thú hồn gói quà
3:400015|Địa cấp thú hồn ngẫu nhiên
3:400016|Mạ vàng phấn gói quà lớn
3:400017|Ngẫu nhiên triện ấn gói quà
3:400018|Thiên cấp thú hồn gói quà
3:400019|Mỗi ngày thủ mạo xưng quý tộc
3:400020|Mỗi ngày thủ mạo xưng tôn hưởng
3:400021|1 Tinh trang bị gói quà
3:400022|Tam hệ anh hùng ngẫu nhiên
3:400023|Thần Ma ngẫu nhiên gói quà
3:400024|3 Tinh cam trang gói quà
3:400025|Thú hồn gói quà
3:400026|Thú hồn gói quà
3:400027|Thú hồn gói quà
3:400028|Thú hồn gói quà
3:400029|Thú hồn gói quà
3:400030|Thú hồn gói quà
3:400031|Mỗi ngày thủ mạo xưng gói quà
3:400032|Đỏ 1 Trang bị ngẫu nhiên
3:400033|Đỏ 2 Trang bị ngẫu nhiên
3:400034|Thông dụng Tiên Khí ngẫu nhiên
3:400035|Đỏ 3 Trang bị ngẫu nhiên
3:400036|Cấp thấp phụ ma tự do
3:400037|Trung cấp phụ ma tự do
3:400038|Cao cấp phụ ma tự do
3:400039|Tiên Khí mảnh vỡ ngẫu nhiên
3:400040|Phúc địa trân tàng
3:400041|Phong thần khiến gói quà
3:400042|Thiên địa thú hồn ngẫu nhiên
3:400043|Chuyên môn Tiên Khí ngẫu nhiên
3:400044|Lá cây ngẫu nhiên gói quà
3:400045|Thú hồn tiến giai gói quà
3:500001|Tự do gói quà -1
3:500002|Tự do gói quà -2
3:500003|Tự do gói quà -3
3:500004|Nhân tộc tự do gói quà
3:500005|Tiên Tộc tự do gói quà
3:500006|Yêu tộc tự do gói quà
3:500007|Thần tộc tự do gói quà
3:500008|Ma tộc tự do gói quà
3:500009|Tam hệ anh hùng tự do
3:500010|Thần Ma tự do gói quà
3:500011|Triện ấn tự do gói quà
3:500012|Địa cấp thú hồn tự do
3:500013|Thiên cấp thú hồn ngẫu nhiên
3:500014|Thiên cấp thú hồn tự do
3:500015|Quán ma chi bình gói quà
3:500016|Di vật tự do gói quà
3:500017|4 Tinh cam trang tự do
3:500018|Hồn đan tự do gói quà
3:500019|Di vật tự do gói quà
3:500020|Cực phẩm thú hồn gói quà
3:500021|Thiên cấp thú hồn ngẫu nhiên
3:500022|Anh hùng tự do gói quà
3:500023|Đỏ 2 Trang bị tự do
3:500024|Đỏ 3 Trang bị tự do
3:500025|Thông dụng Tiên Khí tự do
3:500026|Chuyên môn Tiên Khí tự do
3:500027|Tiên Khí mảnh vỡ tự do
3:500028|Tiên Khí mảnh vỡ ngẫu nhiên
3:500029|Địa cấp thú hồn tự do
3:500030|Thiên cấp thú hồn tự do
3:500031|Nhân tộc Tiên Khí tự do
3:500032|Tiên Tộc Tiên Khí tự do
3:500033|Yêu tộc Tiên Khí tự do
3:500034|Thần tộc Tiên Khí tự do
3:500035|Ma tộc Tiên Khí tự do
3:500036|Nhân tộc Tiên Khí mảnh vỡ
3:500037|Tiên Tộc Tiên Khí mảnh vỡ
3:500038|Yêu tộc Tiên Khí mảnh vỡ
3:500039|Thần tộc Tiên Khí mảnh vỡ
3:500040|Ma tộc Tiên Khí mảnh vỡ
3:500041|Chủng tộc huy chương tự do
3:500042|Tiên Khí mảnh vỡ tự do
3:500043|Tiên Khí tự do gói quà
3:500044|Bánh Trung thu tự do hộp quà
3:500045|Tiên Khí lui trở về tự do
3:500046|Làn da mảnh vỡ tự do
3:500047|Tiên Khí mảnh vỡ tự do
3:500048|Tiên Khí mảnh vỡ tự do
3:500049|Tiên Khí mảnh vỡ tự do
3:500050|Tiên Khí mảnh vỡ tự do
3:500052|Lá cây tự do gói quà
3:500053|Chỉ định Thần Ma tự do
3:500054|Tam hệ anh hùng tự do
3:560001|Ngày lễ đèn lồng
3:560002|Long Tước chi tư
3:570001|Đồ cất giữ gói quà
3:100005|Phổ thông tầm bảo khoán
3:100006|Cao cấp tầm bảo khoán
3:100021|Phổ thông điểm tướng khoán
3:100022|Cao cấp điểm tướng khoán
3:100023|Diễn võ trường khiêu chiến khoán
3:100027|Treo thưởng đổi mới khoán
3:100037|Tiểu thanh tân hồng bao
3:100038|Cấp cao khí quyển hồng bao
3:100039|Chí tôn thổ hào hồng bao
3:100044|Tinh anh điểm tướng khoán
3:100058|Linh vũ
3:100061|Liệt thiên
3:100062|Càn khôn bí chìa
3:100063|Rút thưởng khoán
3:100064|Ngọc như ý
3:100065|Xá Lợi
